State,Population_Density
Acre,17.462
Alagoas,50.307
Amapá,34.145
Amazonas,91.389
Bahia,123.292
Ceará,147.566
Distrito Federal,84.287
Espírito Santo,71.703
Goiás,40.772
Maranhão,106.906
Mato Grosso,35.639
Mato Grosso do Sul,16.637
Minas Gerais,94.132
Pará,138.396
Paraíba,67.680
Paraná,55.909
Pernambuco,80.115
Piauí,39.606
Rio de Janeiro,141.005
Rio Grande do Norte,43.957
Rio Grande do Sul,16.637
Rondônia,29.801
Roraima,25.686
Santa Catarina,54.414
São Paulo,416.434
Sergipe,46.059
Tocantins,17.898